"RT..NO.","BCR","State","RT..NAME","RT..LENG.","NLCD.0","NLCD.11","NLCD.12","NLCD.21","NLCD.22","NLCD.23","NLCD.24","NLCD.31","NLCD.41","NLCD.42","NLCD.43","NLCD.52","NLCD.71","NLCD.81","NLCD.82","NLCD.90","NLCD.95","SUM","km"
72107,13,"Pennsylvania","SUGAR GROVE",34937.8,0,2420,0,41477,3446,772,266,295,482947,51619,55253,34165,12548,206179,79551,56324,5708,1032970,10
72126,28,"Pennsylvania","LTL PINE CR",38524.3,0,2424,0,9188,426,59,73,2269,407159,36886,376332,15467,4303,32310,6460,1192,1839,896387,10
72127,28,"Pennsylvania","DUBOISTOWN",40915.4,0,10574,0,58985,22876,8296,2807,102,508967,54676,107592,1370,158,88288,52764,769,1930,920154,10
72132,28,"Pennsylvania","ELLENTON",39056.9,0,2888,0,21507,545,82,12,2451,637873,37696,175757,45099,4454,93095,34893,3873,2455,1062680,10
72137,28,"Pennsylvania","POCONO SUMMIT 2",39507.9,0,19629,0,57476,6180,2071,165,2215,639753,63024,14770,3051,3283,4717,2362,101260,2447,922403,10
72140,28,"Pennsylvania","STARLIGHT II",39646.3,0,28584,0,51364,5262,1785,727,820,599787,32926,100813,5704,10946,197145,11001,38770,6344,1091978,10
72145,28,"Pennsylvania","MARS",41387.5,0,18671,0,137404,58709,19118,7339,2307,552269,5413,3849,16,11077,132889,108854,2059,673,1060647,10
72151,28,"Pennsylvania","JEANNETTE",39407.9,0,7625,0,98720,94990,42890,11196,5811,512037,2553,990,51,134,290992,50439,0,5,1118433,10
72155,28,"Pennsylvania","LAUREL HILL",37940.4,0,2661,0,61223,9113,4041,483,4517,653828,12035,3911,0,111,168379,40210,86,92,960690,10
72165,28,"Pennsylvania","LANDISBURG",39033.4,0,4635,0,52012,16507,2369,252,273,499749,16684,25997,137,0,240332,168577,4371,627,1032522,10
72166,28,"Pennsylvania","DOYLESBURG",44641.2,0,2674,0,53474,9697,1922,146,531,828494,33181,29757,137,48,121106,67755,754,120,1149796,10
72173,28,"Pennsylvania","ELIZABETHVIL",40171,0,64153,0,64203,19174,3781,491,451,455759,11003,15622,0,0,229872,181953,1889,185,1048536,10
72174,29,"Pennsylvania","MOUNT JOY",44659.9,0,54361,0,127138,94076,31946,14716,1955,210954,2595,12880,36346,2263,226310,265678,8053,655,1089926,10
72175,29,"Pennsylvania","AKRON",41106,0,2508,0,127225,113991,40181,17053,1518,106097,3119,5712,28190,4484,239574,288835,6174,646,985307,10
72177,29,"Pennsylvania","MT GRETNA 2",39005.9,0,26477,0,104316,71923,24149,10940,1568,204014,2057,9697,31109,1624,206915,290817,5597,504,991707,10
72178,28,"Pennsylvania","BRUNNERVILLE 2",45005.3,0,5074,0,112363,75686,20020,6403,589,306331,4637,6787,16117,1749,319334,326530,5551,2544,1209715,10
72180,28,"Pennsylvania","SCHAEFFERSTOWN 2",47519,0,9327,0,92052,51866,14453,6386,4507,489617,16070,15631,7433,363,271241,241275,2557,2355,1225133,10
72181,29,"Pennsylvania","BRICK TAVERN",39431.7,0,9593,0,106247,55487,17900,3581,1060,400199,5538,9104,87466,10048,134198,174031,17125,490,1032067,10
72182,29,"Pennsylvania","SCHWENKSVILL",41129.7,0,4673,0,212167,136210,51385,15582,977,272772,5712,13102,86719,13332,182012,87074,20759,228,1102704,10
72187,28,"Pennsylvania","DREHERSVILLE 2",40406.6,0,7783,0,104867,73492,19675,6921,1186,420649,15472,16403,38,14,262262,219016,2230,462,1150470,10
72189,28,"Pennsylvania","MILL RUN",38783.1,0,8994,0,51661,5246,1301,157,3359,842212,10637,4444,75,57,83472,25480,67,325,1037487,10
72192,28,"Pennsylvania","STONEYBREAK",42336.5,0,1657,0,63503,8624,1822,525,234,714809,52556,22181,12,0,182539,26433,97,0,1074992,10
72193,29,"Pennsylvania","BENDERSVILLE",39389.8,0,3641,0,77041,34719,14342,4980,929,211145,15872,12154,61505,8218,243025,274933,13271,363,976138,10
72194,28,"Pennsylvania","SOUTH MTN",39254.5,0,3019,0,69736,33121,6158,1624,371,604137,47651,42828,1535,767,149938,131834,6576,883,1100178,10
72195,29,"Pennsylvania","SHREWSBURY",40520.7,0,1900,0,90081,10022,3394,667,550,308683,6385,10754,34022,993,189425,379975,3794,132,1040777,10
72196,29,"Pennsylvania","JACOBUS",40923.7,0,4061,0,122450,56668,27688,14001,1202,215777,6952,10722,42668,2572,217238,320140,6230,258,1048627,10
72198,29,"Pennsylvania","CHATHAM",46496.8,0,1009,0,156402,32317,12877,3560,595,296763,3149,7032,49261,2639,395287,290414,9915,214,1261434,10
72275,29,"Pennsylvania","LEOLA",37528.4,0,2358,0,112820,102027,33687,13366,1518,98092,2212,5030,26571,4318,228860,279038,5666,433,915996,10
72901,28,"Pennsylvania","WYALUSING",39847.1,0,14967,0,36338,2497,678,39,598,256534,64099,123989,9393,1118,120174,154975,1013,7133,793545,10
72902,28,"Pennsylvania","BERWICK",39471.8,0,17240,0,61585,18232,5094,1137,828,377587,37809,68336,3484,399,195199,85981,1519,3622,878052,10
